ax,ay,az,gx,gy,gz
0.24,-0.7,10.31,-0.11,0.05,-0.01
0.25,-0.71,10.31,-0.13,0.06,-0.01
0.23,-0.7,10.29,-0.14,0.06,-0.01
0.23,-0.7,10.34,-0.14,0.06,-0.02
0.23,-0.73,10.31,-0.13,0.06,-0.02
0.23,-0.75,10.28,-0.15,0.07,-0.02
0.22,-0.75,10.31,-0.16,0.07,-0.02
0.24,-0.77,10.36,-0.18,0.08,-0.02
0.27,-0.77,10.29,-0.17,0.07,-0.01
0.23,-0.77,10.05,-0.02,0.05,-0.01
0.23,-0.77,10.36,-0.21,0.09,-0.01
0.19,-0.79,10.41,-0.23,0.11,-0.02
0.19,-0.79,10.15,-0.16,0.1,-0.01
0.18,-0.9,10.48,-0.22,0.08,-0.02
0.16,-0.93,10.35,-0.19,0.07,-0.02
0.16,-0.88,10.24,-0.17,0.09,-0.02
0.18,-0.87,10.21,-0.2,0.1,-0.02
0.18,-0.89,10.33,-0.23,0.11,-0.02
0.14,-0.96,10.35,-0.21,0.1,-0.02
0.14,-0.96,10.29,-0.2,0.09,-0.02
0.11,-1,10.25,-0.19,0.09,-0.02
0.11,-1.07,10.26,-0.21,0.1,-0.01
0.11,-1.12,10.44,-0.27,0.11,-0.01
0.07,-1.06,10.18,-0.17,0.08,-0.01
0.11,-1.07,10.2,-0.16,0.08,-0.01
0.09,-1.12,10.35,-0.19,0.08,-0.02
0.05,-1.14,10.31,-0.17,0.09,-0.02
0.04,-1.13,10.3,-0.17,0.09,-0.02
0.05,-1.16,10.29,-0.18,0.08,-0.02
0.1,-1.17,10.27,-0.17,0.09,-0.01
0.05,-1.19,10.24,-0.16,0.09,-0.02
0.06,-1.22,10.27,-0.17,0.08,-0.02
0.03,-1.23,10.28,-0.16,0.08,-0.02
0.05,-1.25,10.28,-0.15,0.08,-0.01
0.04,-1.23,10.23,-0.16,0.08,-0.01
0.03,-1.25,10.26,-0.16,0.08,-0.01
0.02,-1.25,10.23,-0.17,0.08,-0.01
0.01,-1.28,10.27,-0.16,0.08,-0.02
0,-1.3,10.24,-0.15,0.08,-0.02
0.02,-1.33,10.25,-0.16,0.08,-0.02
