ax,ay,az,gx,gy,gz
-0.96,-1.57,10.12,-0.09,0.06,-0.01
-0.92,-1.57,10.15,-0.11,0.06,-0.01
-0.9,-1.54,10.11,-0.11,0.06,-0.01
-0.94,-1.52,10.08,-0.12,0.05,-0.01
-0.91,-1.54,10.08,-0.12,0.06,-0.01
-0.91,-1.53,10.1,-0.12,0.06,-0.01
-0.91,-1.58,10.12,-0.14,0.07,-0.02
-0.92,-1.59,10.11,-0.16,0.07,-0.02
-0.94,-1.59,10.08,-0.14,0.07,-0.02
-0.97,-1.59,10.14,-0.14,0.07,-0.02
-0.95,-1.57,10.12,-0.13,0.06,-0.01
-0.93,-1.59,10.07,-0.13,0.06,-0.01
-0.93,-1.63,10.14,-0.16,0.08,-0.02
-0.94,-1.64,10.1,-0.15,0.08,-0.02
-0.9,-1.59,9.95,-0.05,0.03,0.0
-0.99,-1.76,10.19,-0.18,0.09,-0.02
-0.98,-1.61,10.2,-0.19,0.1,-0.03
-0.96,-1.61,9.97,-0.1,0.06,0.0
-0.95,-1.72,10.14,-0.15,0.08,-0.01
-1.01,-1.69,10.16,-0.17,0.08,-0.02
-1.0,-1.7,10.11,-0.15,0.07,-0.01
-0.96,-1.7,10.04,-0.14,0.07,-0.01
-0.93,-1.71,10.07,-0.16,0.09,-0.01
-0.98,-1.67,10.13,-0.17,0.09,-0.02
-1.01,-1.72,10.12,-0.17,0.09,-0.02
-1.0,-1.76,10.07,-0.15,0.08,-0.02
-1.01,-1.79,10.05,-0.15,0.08,-0.02
-1.02,-1.82,10.2,-0.2,0.11,-0.03
-0.99,-1.74,10.0,-0.13,0.06,-0.01
-1.01,-1.81,10.06,-0.13,0.07,-0.01
-1.04,-1.81,10.12,-0.15,0.08,-0.02
-1.07,-1.77,10.11,-0.13,0.09,-0.02
-1.04,-1.82,10.07,-0.12,0.08,-0.01
-1.03,-1.86,10.07,-0.14,0.08,-0.01
-1.06,-1.85,10.05,-0.13,0.08,-0.01
-1.03,-1.78,10.05,-0.12,0.07,-0.01
-1.04,-1.8,10.04,-0.12,0.07,-0.01
-1.02,-1.81,10.04,-0.13,0.07,-0.01
-1.05,-1.86,10.06,-0.13,0.07,-0.02
-1.06,-1.87,10.07,-0.14,0.07,-0.02
-1.07,-1.86,10.07,-0.13,0.07,-0.01
-1.07,-1.87,10.07,-0.13,0.07,-0.01
